Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,66.53127248389157,67.84994437642308,66.53127248389157,67.81175994873047,28132000,0.0,0.0
2020-01-03 00:00:00-05:00,66.84421603661217,68.06618609093573,66.72936003816949,67.47900390625,23728000,0.0,0.0
2020-01-06 00:00:00-05:00,66.95033541842346,69.25639950037348,66.95033541842346,69.14283752441406,34646000,0.0,0.0
2020-01-07 00:00:00-05:00,69.32783136564986,69.57827011056023,68.95290348967677,69.09970092773438,30054000,0.0,0.0
2020-01-08 00:00:00-05:00,69.03720258071381,70.00426909250005,68.97571096536768,69.64422607421875,30560000,0.0,0.0
2020-01-09 00:00:00-05:00,70.45010761810009,70.7853526905972,69.93929437877065,70.41340637207031,30018000,0.0,0.0
2020-01-10 00:00:00-05:00,70.79676673782576,71.16222039360179,70.34002155715467,70.90438842773438,36414000,0.0,0.0
2020-01-13 00:00:00-05:00,71.22176695031578,71.43947721249037,70.72038256238037,71.37550354003906,33046000,0.0,0.0
2020-01-14 00:00:00-05:00,71.36460211780435,71.50296204215371,70.83693653451394,70.96141052246094,31178000,0.0,0.0
2020-01-15 00:00:00-05:00,70.92818272042308,71.48287858482847,70.92818272042308,71.3740234375,25654000,0.0,0.0
2020-01-16 00:00:00-05:00,71.78266404004518,72.00831237664282,71.45931471837719,71.99392700195312,23474000,0.0,0.0
2020-01-17 00:00:00-05:00,72.54987970305585,73.46164477643468,72.31729213171786,73.41676330566406,47924000,0.0,0.0
2020-01-21 00:00:00-05:00,73.35377330187121,73.98508776363148,72.96099425986245,73.6156234741211,40734000,0.0,0.0
2020-01-22 00:00:00-05:00,73.94292826084337,74.54865014201141,73.64189481522222,73.6924819946289,32216000,0.0,0.0
2020-01-23 00:00:00-05:00,73.77630737110373,74.16709622445227,73.50156257232511,73.72720336914062,27024000,0.0,0.0
2020-01-24 00:00:00-05:00,74.07138470761326,74.16586205716689,72.66592346169855,72.73833465576172,35692000,0.0,0.0
2020-01-27 00:00:00-05:00,70.9673672394865,71.31798903177402,70.48135188938812,71.1111831665039,35104000,0.0,0.0
2020-01-28 00:00:00-05:00,71.56247848571375,72.2071869989174,71.04026133609365,72.03658294677734,31548000,0.0,0.0
2020-01-29 00:00:00-05:00,72.34605353333583,72.67485135104283,71.74795933038743,72.3376235961914,21554000,0.0,0.0
2020-01-30 00:00:00-05:00,71.41171613863378,72.27066157396365,71.23516421320402,72.19924926757812,26788000,0.0,0.0
2020-01-31 00:00:00-05:00,72.84692198093046,72.90792171864511,70.84485776961345,71.1275405883789,48344000,0.0,0.0
2020-02-03 00:00:00-05:00,72.5047348171585,73.89333593201904,72.35546290260906,73.69198608398438,60736000,0.0,0.0
2020-02-04 00:00:00-05:00,72.2602565180651,72.8766937856958,70.73428653529048,71.76432800292969,78660000,0.0,0.0
2020-02-05 00:00:00-05:00,72.52556393309635,72.59598491902364,70.94553373541274,71.82183837890625,39724000,0.0,0.0
2020-02-06 00:00:00-05:00,71.92599629501353,73.49659788821806,71.88830373345907,73.21044921875,33588000,0.0,0.0
